movie_id,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film_Noir,Horror,Musical,Mystery,Romance,Sci_Fi,Thriller,War,Western,movie_title
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Toy Story (1995)
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GoldenEye (1995)
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Four Rooms (1995)
4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Get Shorty (1995)
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Copycat (1995)
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Twelve Monkeys (1995)
8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Babe (1995)
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Dead Man Walking (1995)
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Richard III (1995)
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Seven (Se7en) (1995)
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Usual Suspects (dot) The (1995)
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mighty Aphrodite (1995)
14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Postino (dot) Il (1994)
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mr. Holland's Opus (1995)
16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,French Twist (Gazon maudit) (1995)
17,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,From Dusk Till Dawn (1996)
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,White Balloon (dot) The (1995)
19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antonia's Line (1995)
20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Angels and Insects (1995)
21,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Muppet Treasure Island (1996)
22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Braveheart (1995)
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Taxi Driver (1976)
24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rumble in the Bronx (1995)
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Birdcage (dot) The (1996)
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Brothers McMullen (dot) The (1995)
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bad Boys (1995)
28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Apollo 13 (1995)
29,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Batman Forever (1995)
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Belle de jour (1967)
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Crimson Tide (1995)
32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Crumb (1994)
33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Desperado (1995)
