movie_id,Animation,Children's,Comedy,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Sci-Fi,Documentary,War,Musical,Mystery,Film-Noir,Western,title
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toy Story (1995)
2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jumanji (1995)
3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grumpier Old Men (1995)
4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Waiting to Exhale (1995)
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Father of the Bride Part II (1995)
6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Heat (1995)
7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sabrina (1995)
8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom and Huck (1995)
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sudden Death (1995)
10,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,GoldenEye (1995)
11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,American President， The (1995)
12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Dracula: Dead and Loving It (1995)
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balto (1995)
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Nixon (1995)
15,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Cutthroat Island (1995)
16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Casino (1995)
17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Sense and Sensibility (1995)
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Four Rooms (1995)
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ace Ventura: When Nature Calls (1995)
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Money Train (1995)
21,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Get Shorty (1995)
22,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Copycat (1995)
23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Assassins (1995)
24,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Powder (1995)
25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Leaving Las Vegas (1995)
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Othello (1995)
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Now and Then (1995)
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Persuasion (1995)
29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,City of Lost Children， The (1995)
30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dangerous Minds (1995)
32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Twelve Monkeys (1995)
33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wings of Courage (1995)
34,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Babe (1995)
35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Carrington (1995)
36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dead Man Walking (1995)
37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Across the Sea of Time (1995)
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It Takes Two (1995)
39,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Clueless (1995)
40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Cry， the Beloved Country (1995)
41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Richard III (1995)
